population,net_migration,incomeLevelRank,lendingType,lendingTypeLevel
27627124.0,208549.0,1,IDA,0
106400024.0,150002.0,1,IDA,0
73463584.0,-1137344.0,2,IDA,0
31192857.0,-400706.0,1,IDA,0
15419381.0,-100001.0,2,IDA,0
4290534.0,-87571.0,1,IDA,0
2951043.0,0.0,1,IDA,0
7178675.0,-75000.0,1,IDA,0
2127422.0,-40000.0,1,IDA,0
197198.0,-8491.0,2,IDA,0
2155647.0,-29002.0,2,IDA,0
5473671.0,-100000.0,1,IDA,0
6800141.0,-81501.0,1,IDA,0
3461911.0,175585.0,1,IDA,0
4350452.0,0.0,1,IDA,0
3253218.0,-57900.0,1,IDA,0
6028431.0,0.0,2,IDA,0
207089.0,-8401.0,2,IDA,0
12715510.0,-233405.0,1,IDA,0
6419901.0,1244966.0,1,IDA,0
9297113.0,-150001.0,1,IDA,0
89979.0,-1902.0,2,IDA,0
615054.0,-45000.0,2,IDA,0
501953.0,-6000.0,2,IDA,0
19357126.0,-867540.0,1,IDA,0
435432.0,-8445.0,2,IDA,0
8541605.0,-50000.0,1,IDA,0
25413917.0,-602679.0,2,IDA,0
9518162.0,-311422.0,1,IDA,0
16853688.0,-40000.0,2,IDA,0
108480.0,-12788.0,2,IDA,0
569479.0,-10000.0,2,IDA,0
2326202.0,462952.0,1,IDA,0
36193783.0,-538145.0,2,IDA,0
5352503.0,0.0,1,IDA,0
3927714.0,-10848.0,1,IDA,0
16041190.0,122650.0,1,IDA,0
1303035.0,7996.0,1,IDA,0
944097.0,4501.0,2,IDA,0
10982366.0,-175000.0,1,IDA,0
6281639.0,-2851.0,1,IDA,0
1027475.0,2620.0,1,IDA,0
4522893.0,65586.0,2,IDA,0
2481058.0,227290.0,1,IDA,0
2907321.0,-84989.0,1,IDA,0
6862273.0,-410787.0,1,IDA,0
4198010.0,-125614.0,1,IDA,0
21547188.0,-80000.0,2,IDA,0
7507303.0,-23500.0,1,IDA,0
188404.0,-8400.0,2,IDA,0
3760300.0,96284.0,3,IBRD,1
1262001.0,79998.0,3,IBRD,1
2048928.0,-14572.0,3,IBRD,1
925235.0,-61309.0,4,IBRD,1
31184415.0,160000.0,3,IBRD,1
17400347.0,163730.0,4,IBRD,1
11192854.0,-47520.0,2,IBRD,1
137278058.0,378743.0,2,IBRD,1
8171950.0,36523.0,3,IBRD,1
22828869.0,130000.0,3,IBRD,1
27754571.0,-532581.0,2,IBRD,1
4196712.0,1854.0,4,IBRD,1
6237923.0,-240415.0,2,IBRD,1
2065426.0,-7399.0,3,IBRD,1
9464495.0,72123.0,3,IBRD,1
2606139.0,-214378.0,3,IBRD,1
2318264.0,-9395.0,4,IBRD,1
4182205.0,550110.0,3,IBRD,1
7408342.0,-144154.0,3,IBRD,1
18676550.0,-2001.0,3,IBRD,1
1042652.0,-38219.0,2,IBRD,1
9854033.0,6002.0,3,IBRD,1
6421512.0,-87130.0,3,IBRD,1
38649660.0,-85199.0,4,IBRD,1
8952950.0,234148.0,2,IBRD,1
1183209472.0,-2655844.0,2,IBRD,1
16258321.0,-94100.0,3,IBRD,1
14273495.0,-237500.0,3,IBRD,1
4005800.0,85200.0,3,IBRD,1
1093317189.0,-1888986.0,2,IBRD,1
23774284.0,-93302.0,3,IBRD,1
22794284.0,-520001.0,3,IBRD,1
1472575.0,63698.0,3,IBRD,1
1194541.0,-45387.0,4,IBRD,1
21444000.0,-489932.0,3,IBRD,1
2194784.0,-37034.0,3,IBRD,1
2006670.0,-70930.0,3,IBRD,1
5863132.0,-50466.0,3,IBRD,1
8785648.0,65585.0,3,IBRD,1
2821461.0,-136000.0,4,IBRD,1
97212638.0,-834619.0,2,IBRD,1
207833831.0,106000.0,3,IBRD,1
12386879.0,-48900.0,3,IBRD,1
1202449.0,-11928.0,4,IBRD,1
26661398.0,-230000.0,3,IBRD,1
16257070.0,-647664.0,3,IBRD,1
3867309.0,-90977.0,2,IBRD,1
3860158.0,-119811.0,3,IBRD,1
29362449.0,-431040.0,3,IBRD,1
148689000.0,2490121.0,3,IBRD,1
2523354.0,18876.0,3,IBRD,1
2461049.0,-110068.0,3,IBRD,1
31105028.0,249999.0,3,IBRD,1
1644943.0,-28981.0,3,IBRD,1
1265782790.0,-2350075.0,2,IBRD,1
8476897.0,-146900.0,4,IBRD,1
457039.0,-11426.0,2,IBRD,1
5160609.0,-41269.0,3,IBRD,1
14471211.0,-77285.0,3,IBRD,1
17519417.0,261100.0,2,IBRD,1
2750086.0,-34000.0,4,IBRD,1
34297727.0,-118001.0,3,IBRD,1
4372100.0,-95445.0,3,IBRD,1
145306046.0,1778101.0,3,IBRD,1
80673951.0,-274998.0,3,IBRD,1
821687.0,80001.0,3,IBRD,1
1124753.0,-41764.0,2,IBRD,1
46956208.0,-616085.0,3,IBRD,1
10847002.0,-150000.0,2,IBRD,1
49119759.0,862221.0,3,IBRD,1
13094888.0,-239800.0,2,IBRD,1
2768227.0,-87319.0,3,IBRD,1
4755459.0,-70824.0,3,IBRD,1
46076848.0,-193380.0,3,IBRD,1
10117000.0,56146.0,3,IBRD,1
26720370.0,761878.0,3,IBRD,1
11743911.0,-154520.0,4,IBRD,1
4450564.0,-18403.0,4,IBRD,1
868958.0,-2696.0,3,IBRD,1
1875459.0,26928.0,3,IBRD,1
16522000.0,425455.0,3,IBRD,1
31195413.0,-324000.0,3,IBRD,1
2174738.0,-70002.0,3,IBRD,1
19002656.0,292354.0,3,IBRD,1
1363554.0,24296.0,3,IBRD,1
15501207.0,-398693.0,3,IBRD,1
1935100.0,-91034.0,3,IBRD,1
9498264.0,43648.0,3,IBRD,1
608144.0,-29965.0,3,IBRD,1
8742777.0,18870.0,3,IBRD,1
154468229.0,475080.0,2,IBRD,1
38363667.0,-159999.0,4,IBRD,1
3899843.0,43633.0,3,IBRD,1
88035814.0,0.0,3,IBRD,1
7199077.0,29559.0,3,IBRD,1
12462070.0,-47791.0,3,IBRD,1
3149188.0,16119.0,4,IBRD,1
2601740.0,-285201.0,3,IBRD,1
22553978.0,-580778.0,3,IBRD,1
3728874.0,-95340.0,3,IBRD,1
81101892.0,1419610.0,3,IBRD,1
943455000.0,-47004.0,3,IBRD,1
4479519.0,-134587.0,3,IBRD,1
8581300.0,53579.0,3,IBRD,1
3270164.0,-26000.0,4,IBRD,1
6255280.0,649995.0,3,IBRD,1
112425392.0,0.0,3,IBRD,1
554059.0,16188.0,3,IBRD,1
9930911.0,-153000.0,3,IBRD,1
17582904.0,-224833.0,3,IBRD,1
99859383.0,0.0,3,IBRD,1
1704642.0,26928.0,3,IBRD,1
1286797.0,38106.0,3,IBRD,1
382981.0,20000.0,3,IBRD,1
2074278.0,-8853.0,3,IBRD,1
1516958.0,-17280.0,3,IBRD,1
70883481.0,-394236.0,2,IBRD,1
2784278.0,-99.0,3,IBRD,1
4124531.0,-40004.0,4,IBRD,1
2932618.0,-183361.0,3,IBRD,1
29390409.0,-3266243.0,3,IBRD,1
264645886.0,-494777.0,2,IBRD,1
5407500.0,-87098.0,3,IBRD,1
9312095.0,-196500.0,4,IBRD,1
10359745.0,3160.0,3,IBRD,1
3133089.0,-223873.0,3,IBRD,1
10749466.0,-29300.0,3,IBRD,1
1141338.0,9566.0,3,IBRD,1
44831135.0,50001.0,2,IBRD,1
5962136.0,-312786.0,2,IBRD,1
68499.0,-5196.0,4,IBRD,1
63701972.0,-332327.0,2,IBRD,1
3407321.0,-39702.0,3,IBRD,1
1384072.0,-3999.0,4,IBRD,1
17965725.0,106550.0,3,IBRD,1
18426415.0,-175500.0,3,IBRD,1
40875360.0,-231000.0,3,IBRD,1
11324277.0,-135303.0,3,IBRD,1
248452413.0,-454447.0,2,IBRD,1
4610005.0,-125883.0,3,IBRD,1
2865637.0,57534.0,3,IBRD,1
13964379.0,1120.0,3,IBRD,1
12657366.0,142812.0,2,IBRD,1
2944809.0,-24989.0,3,IBRD,1
20657957.0,-2001.0,3,IBRD,1
2884851.0,17417.0,3,IBRD,1
1350695000.0,-1552209.0,3,IBRD,1
23447252.0,-430184.0,2,IBRD,1
35581294.0,-257096.0,2,IBRD,1
1344817.0,-3999.0,4,IBRD,1
36587261.0,-240000.0,3,IBRD,1
13275026.0,-121335.0,3,IBRD,1
4534920.0,-188129.0,4,IBRD,1
18620093.0,-309839.0,2,IBRD,1
4739745.0,26145.0,4,IBRD,1
4208676.0,-23150.0,2,IBRD,1
49255900.0,339923.0,3,IBRD,1
5774243.0,-587286.0,2,IBRD,1
1550813.0,45891.0,3,IBRD,1
30308500.0,-62544.0,4,IBRD,1
79200081.0,-1835537.0,3,IBRD,1
16914936.0,-46073.0,3,IBRD,1
53945881.0,504404.0,3,IBRD,1
3076132.0,390001.0,3,IBRD,1
5974787.0,-118555.0,3,IBRD,1
20984009.0,-320659.0,2,IBRD,1
3148281.0,-179606.0,3,IBRD,1
1236683.0,-32813.0,4,IBRD,1
3480454.0,113380.0,3,IBRD,1
608516.0,-20249.0,3,IBRD,1
1010658.0,35715.0,3,IBRD,1
8947404.0,-6877.0,3,IBRD,1
19062482.0,-449480.0,3,IBRD,1
992521.0,-21632.0,3,IBRD,1
4542800.0,-47827.0,3,IBRD,1
262378.0,5797.0,3,IBRD,1
3977672.0,412472.0,3,IBRD,1
28333052.0,-1202758.0,3,IBRD,1
4338458.0,-164230.0,2,IBRD,1
4349913.0,-653597.0,3,IBRD,1
39058603.0,395572.0,3,IBRD,1
2563534.0,81657.0,3,IBRD,1
2667960.0,-128038.0,3,IBRD,1
24931919.0,-266320.0,3,IBRD,1
44044811.0,24000.0,3,IBRD,1
2650486.0,86404.0,3,IBRD,1
4559571.0,18681.0,4,IBRD,1
9871251.0,-143045.0,2,IBRD,1
667092.0,3992.0,3,IBRD,1
4998100.0,-44090.0,3,IBRD,1
3759387.0,-6000.0,3,IBRD,1
1084441.0,-5611.0,3,IBRD,1
537497.0,-6709.0,2,Blend,2
505235.0,-8029.0,2,Blend,2
475060.0,-11341.0,2,Blend,2
442951.0,-9859.0,2,Blend,2
404259.0,-5438.0,2,Blend,2
355757.0,-6376.0,2,Blend,2
321135.0,-27757.0,2,Blend,2
294254.0,-20313.0,2,Blend,2
273335.0,-27982.0,2,Blend,2
271843.0,-34907.0,2,Blend,2
247527.0,4267.0,2,Blend,2
210142.0,-1167.0,2,Blend,2
24566045.0,-24000.0,2,Blend,2
21485266.0,-36000.0,2,Blend,2
18730282.0,-54000.0,2,Blend,2
16357602.0,-54000.0,2,Blend,2
14344449.0,-48000.0,2,Blend,2
12499499.0,-48000.0,2,Blend,2
10731064.0,-19500.0,2,Blend,2
9166816.0,-16500.0,2,Blend,2
7887560.0,0.0,2,Blend,2
6867178.0,-2500.0,2,Blend,2
6052420.0,-1000.0,2,Blend,2
5398729.0,0.0,2,Blend,2
5110702.0,-20000.0,2,Blend,2
4510198.0,-60000.0,2,Blend,2
3876119.0,91771.0,2,Blend,2
3310387.0,51485.0,2,Blend,2
2867280.0,49302.0,2,Blend,2
2489952.0,22530.0,2,Blend,2
2171321.0,2000.0,2,Blend,2
1884875.0,2098.0,2,Blend,2
1629209.0,-7407.0,2,Blend,2
1406522.0,0.0,2,Blend,2
1219541.0,0.0,2,Blend,2
1069238.0,0.0,2,Blend,2
877459.0,-31008.0,3,Blend,2
865069.0,-51950.0,3,Blend,2
836190.0,-23691.0,3,Blend,2
815257.0,-58598.0,3,Blend,2
792736.0,-38692.0,3,Blend,2
744469.0,-33803.0,3,Blend,2
721783.0,-66996.0,3,Blend,2
668280.0,-12677.0,3,Blend,2
598296.0,-22230.0,3,Blend,2
542844.0,-15145.0,3,Blend,2
487981.0,-14279.0,3,Blend,2
421665.0,-3455.0,3,Blend,2
110874.0,-1000.0,3,Blend,2
107446.0,-1000.0,3,Blend,2
105190.0,-3526.0,3,Blend,2
103634.0,-3511.0,3,Blend,2
101567.0,-3964.0,3,Blend,2
97165.0,-4210.0,3,Blend,2
99436.0,-15189.0,3,Blend,2
93122.0,-586.0,3,Blend,2
90227.0,-13206.0,3,Blend,2
93983.0,-11759.0,3,Blend,2
95020.0,-9731.0,3,Blend,2
92484.0,-9450.0,3,Blend,2
50221473.0,-50000.0,2,Blend,2
44343410.0,-50000.0,2,Blend,2
38705932.0,-189330.0,2,Blend,2
33751739.0,25144.0,2,Blend,2
29415659.0,-21386.0,2,Blend,2
25326078.0,221569.0,2,Blend,2
21382112.0,5023.0,2,Blend,2
17736326.0,3805.0,2,Blend,2
14638890.0,-2930.0,2,Blend,2
12146068.0,-17915.0,2,Blend,2
10187478.0,-19535.0,2,Blend,2
8647011.0,-20000.0,2,Blend,2
3549196.0,-6935.0,2,Blend,2
3559519.0,-7020.0,2,Blend,2
3576910.0,-47911.0,2,Blend,2
3623062.0,-12079.0,2,Blend,2
3654208.0,-165309.0,2,Blend,2
3706000.0,-131953.0,2,Blend,2
3633000.0,-84531.0,2,Blend,2
3464000.0,-9185.0,2,Blend,2
3312000.0,-26414.0,2,Blend,2
3131000.0,55824.0,2,Blend,2
2918000.0,74449.0,2,Blend,2
2664000.0,100890.0,2,Blend,2
3113779.0,-4262.0,2,Blend,2
2824699.0,-4262.0,2,Blend,2
2593820.0,-10998.0,2,Blend,2
2443271.0,-15001.0,2,Blend,2
2335734.0,-52463.0,2,Blend,2
2243495.0,-88432.0,2,Blend,2
2033344.0,0.0,2,Blend,2
1777727.0,0.0,2,Blend,2
1562209.0,0.0,2,Blend,2
1356670.0,0.0,2,Blend,2
1173191.0,0.0,2,Blend,2
1011324.0,0.0,2,Blend,2
190873311.0,-300000.0,2,Blend,2
167228767.0,-300000.0,2,Blend,2
146339977.0,-300000.0,2,Blend,2
128596076.0,-170000.0,2,Blend,2
113457663.0,-95027.0,2,Blend,2
100161710.0,-95769.0,2,Blend,2
88048032.0,-91407.0,2,Blend,2
77427546.0,-677063.0,2,Blend,2
67203128.0,820713.0,2,Blend,2
58665808.0,-38526.0,2,Blend,2
52342233.0,-43347.0,2,Blend,2
47029822.0,1021.0,2,Blend,2
207896686.0,-1166895.0,2,Blend,2
187281475.0,-1079167.0,2,Blend,2
167808105.0,-339805.0,2,Blend,2
149549700.0,-650182.0,2,Blend,2
131057431.0,470909.0,2,Blend,2
113911126.0,-1023387.0,2,Blend,2
98285755.0,139790.0,2,Blend,2
83431605.0,1387118.0,2,Blend,2
70958169.0,672203.0,2,Blend,2
61381987.0,-138106.0,2,Blend,2
53655789.0,-209978.0,2,Blend,2
47198878.0,-93268.0,2,Blend,2
8438029.0,-3999.0,2,Blend,2
7631002.0,-3999.0,2,Blend,2
6808514.0,38578.0,2,Blend,2
6098621.0,-84417.0,2,Blend,2
5446641.0,-26081.0,2,Blend,2
4836217.0,-21116.0,2,Blend,2
4292563.0,4723.0,2,Blend,2
3768483.0,10704.0,2,Blend,2
3302633.0,-8646.0,2,Blend,2
2918139.0,-6419.0,2,Blend,2
2596820.0,9476.0,2,Blend,2
2340352.0,5860.0,2,Blend,2
180955.0,0.0,3,Blend,2
176646.0,0.0,3,Blend,2
167639.0,4360.0,3,Blend,2
159392.0,-804.0,3,Blend,2
150913.0,-1541.0,3,Blend,2
141760.0,-5031.0,3,Blend,2
130856.0,-4285.0,3,Blend,2
120988.0,-8009.0,3,Blend,2
112685.0,-8971.0,3,Blend,2
106310.0,-9703.0,3,Blend,2
99365.0,-7795.0,3,Blend,2
91891.0,-9187.0,3,Blend,2
109827.0,-1000.0,3,Blend,2
108435.0,-2934.0,3,Blend,2
108518.0,-5696.0,3,Blend,2
108097.0,-5298.0,3,Blend,2
107895.0,-7971.0,3,Blend,2
107950.0,-8721.0,3,Blend,2
105906.0,-7183.0,3,Blend,2
102256.0,-7350.0,3,Blend,2
97701.0,-7246.0,3,Blend,2
92513.0,-8448.0,3,Blend,2
87777.0,-9706.0,3,Blend,2
83237.0,-9356.0,3,Blend,2
1243261.0,-26924.0,2,Blend,2
1132994.0,-28030.0,2,Blend,2
1036392.0,-38074.0,2,Blend,2
922694.0,-27870.0,2,Blend,2
861866.0,-81574.0,2,Blend,2
783198.0,0.0,2,Blend,2
686471.0,0.0,2,Blend,2
613238.0,0.0,2,Blend,2
619816.0,-51400.0,2,Blend,2
600192.0,0.0,2,Blend,2
538909.0,0.0,2,Blend,2
491571.0,0.0,2,Blend,2
32388600.0,-44314.0,2,Blend,2
29774500.0,-66469.0,2,Blend,2
26868000.0,-140130.0,2,Blend,2
25271850.0,-242297.0,2,Blend,2
23667000.0,-242636.0,2,Blend,2
21449000.0,-322777.0,2,Blend,2
18976417.0,-356031.0,2,Blend,2
16747426.0,-185170.0,2,Blend,2
14643875.0,72079.0,2,Blend,2
12796980.0,70667.0,2,Blend,2
10889509.0,446173.0,2,Blend,2
9113620.0,161627.0,2,Blend,2
14236745.0,-584288.0,2,Blend,2
13115131.0,-622997.0,2,Blend,2
12255922.0,-512676.0,2,Blend,2
11954290.0,-697817.0,2,Blend,2
11653242.0,-524671.0,2,Blend,2
10900502.0,-298236.0,2,Blend,2
9527203.0,84354.0,2,Blend,2
7958241.0,99068.0,2,Blend,2
6712827.0,-152283.0,2,Blend,2
5673911.0,-45547.0,2,Blend,2
4779827.0,-42001.0,2,Blend,2
4039201.0,-15009.0,2,Blend,2
499790863.0,5956985.0,5,Aggregates,3
